Team Name,Region,CSL Link,Series Record,Series Wins,Series Losses,Game Record,Game Wins,Game Losses,Average Rank,Average Rank Number,First OP.GG,Second OP.GG
Yale's OP Kayle,North-east | 7,https://cstarleague.com/lol/teams/10445,3 - 2,3,2,7 - 4,7,4,Platinum 3,18.0,"https://na.op.gg/multi/query=alcrazy,Pho King Hell,Muffintopper66,Aurephelia,Big Chang Theory,Korobasne,",
Northeastern Justice,North-east | 7,https://cstarleague.com/lol/teams/9948,3 - 2,3,2,7 - 5,7,5,Gold 1,16.0,"https://na.op.gg/multi/query=Bravø,FlyingHippo2,SKT T69 Faker,catgirl loli,Sparkbeat,Underaged Rat,Deadly Snare,SmohknJefreys,iHeartWessy,",
Jason bOrnn,North-east | 7,https://cstarleague.com/lol/teams/8793,2 - 4,2,4,6 - 8,6,8,Platinum 4,17.0,"https://na.op.gg/multi/query=T W,Redstrike929,Pheonixwish,Galactic Emperor,Blaste,Mister Krabs,9S is best boy,Roycxz,B1ueRos3,Kevinnub,",
Better Mid Wins,North-east | 7,https://cstarleague.com/lol/teams/10437,2 - 3,2,3,5 - 6,5,6,Platinum 4,17.0,"https://na.op.gg/multi/query=Slubby,FluttR,SkyStruck,Translucent Dawn,luliang,rice will do,",
CCSU White,North-east | 7,https://cstarleague.com/lol/teams/4790,2 - 4,2,4,4 - 8,4,8,Gold 3,14.0,"https://na.op.gg/multi/query=TMorgs,evilrunic,JayvisAwe,Mr Neopolitan,XxInstinctxX,Qaera,killencrab,",
SHU Open,North-east | 7,https://cstarleague.com/lol/teams/6866,1 - 3,1,3,3 - 6,3,6,Gold 1,16.0,"https://na.op.gg/multi/query=DripDroppin,gamefanatic1,InsaneSouls,KimJongPhill,ªndrew,HKingChard,An Ikea Bed,",
Five Man Mid,North-east | 7,https://cstarleague.com/lol/teams/11208,1 - 2,1,2,2 - 4,2,4,Gold 1,16.0,"https://na.op.gg/multi/query=DiamondAatrox,kevinhonglol,Korobasne,Tekniq,iHalcyonK,Yugi Mototodile,Kaoisa,",
UNewHaven Gold,North-east | 7,https://cstarleague.com/lol/teams/9989,0 - 5,0,5,0 - 10,0,10,Silver 4,9.0,"https://na.op.gg/multi/query=TheJonSmith,itchycolon,Yonagi Kei,Katsuo Yuko,Solomon122,Yami Deku,Shadowfang7875,",
Thicc Boys Incorporated,North-east | 7,https://cstarleague.com/lol/teams/10246,0 - 5,0,5,0 - 10,0,10,Gold 1,16.0,"https://na.op.gg/multi/query=Slubby,Yizook,True Lover,H1GHR,CRZephyr,Lan biu biu,AnYu,",
RIT Esports JV,North-east | 6,https://cstarleague.com/lol/teams/11443,6 - 0,6,0,12 - 0,12,0,Diamond 3,22.0,"https://na.op.gg/multi/query=iamiuru2,Oracra,Pwn3d12345,Massiveboobgf,An Angry Cupcake,TheSageOfPaths,kiet1v9,HeadSpace,RM UP,",
