name,team,region,rank,rankValue,op.gg
The Wòlf,Johns Hopkins Bluejays,North-east | 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=The Wòlf
Cornhustler,Johns Hopkins Bluejays,North-east | 3,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=Cornhustler
idrivecar,Johns Hopkins Bluejays,North-east | 3,Diamond 3,22,https://na.op.gg/summoner/userName=idrivecar
Nytesdawn,Johns Hopkins Bluejays,North-east | 3,Master,25,https://na.op.gg/summoner/userName=Nytesdawn
Rixi,Johns Hopkins Bluejays,North-east | 3,Diamond 3,22,https://na.op.gg/summoner/userName=Rixi
25th Sol,Johns Hopkins Bluejays,North-east | 3,Master,25,https://na.op.gg/summoner/userName=25th Sol
Dabbing Dad,MESC JV I Cee,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Dabbing Dad
PieLyfe,MESC JV I Cee,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=PieLyfe
DuhChappers,MESC JV I Cee,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=DuhChappers
Dyego,MESC JV I B,North-east | 2,Platinum 1,20,https://na.op.gg/summoner/userName=Dyego
Erikkun,MESC JV I Cee,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Erikkun
Nîer 2b,MESC JV I Cee,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Nîer 2b
Newb the Legend,MESC JV I Cee,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=Newb the Legend
Jeanne fan club,MESC JV I Cee,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Jeanne fan club
Happi Feet,MESC JV I Cee,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Happi Feet
iCarpenter,MESC JV I B,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=iCarpenter
Qube,MESC JV I B,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Qube
Arthwook,MESC JV I B,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Arthwook
Mikę,MESC JV I B,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Mikę
Wholy Bagel,MESC JV I B,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Wholy Bagel
Lagging Support,MESC JV I B,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Lagging Support
GVSU Chad,GVSU Laker Legends B Team,North-east | 2,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=GVSU Chad
MIkeTheDemonic,GVSU Laker Legends B Team,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=MIkeTheDemonic
boc,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=boc
xAGEofMYTHx,GVSU Laker Legends B Team,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=xAGEofMYTHx
rk231,GVSU Laker Legends B Team,North-east | 2,Gold 4,13,https://na.op.gg/summoner/userName=rk231
KiwiSocks,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=KiwiSocks
FFZedIsFed,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=FFZedIsFed
cookie52002,GVSU Laker Legends B Team,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=cookie52002
Tillo,GVSU Laker Legends B Team,North-east | 2,Gold 1,16,https://na.op.gg/summoner/userName=Tillo
Whalis,GVSU Laker Legends B Team,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Whalis
Laglicious,OU Tempest,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Laglicious
Kitz Snipez,OU Tempest,North-east | 2,Diamond 2,23,https://na.op.gg/summoner/userName=Kitz Snipez
RevelationX03,OU Tempest,North-east | 2,Gold 1,16,https://na.op.gg/summoner/userName=RevelationX03
dok,OU Tempest,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=dok
Foreign Guy,OU Tempest,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Foreign Guy
Flabbyb,OU Tempest,North-east | 2,Gold 1,16,https://na.op.gg/summoner/userName=Flabbyb
myless,OU Tempest,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=myless
TheAsianInvasion,OU Tempest,North-east | 2,Platinum 2,19,https://na.op.gg/summoner/userName=TheAsianInvasion
PepperoniTomato,OU Tempest,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=PepperoniTomato
Myosin,OU Tempest,North-east | 2,Platinum 2,19,https://na.op.gg/summoner/userName=Myosin
LOLGod2000,OU Tempest,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=LOLGod2000
KilroyTheGreat,OU Tempest,North-east | 2,Platinum 1,20,https://na.op.gg/summoner/userName=KilroyTheGreat
eFrFLennon,Miami University Big Boys,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=eFrFLennon
Humor,MUES JV C,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Humor
DTPALM2001,Miami University Big Boys,North-east | 2,Platinum 2,19,https://na.op.gg/summoner/userName=DTPALM2001
BlindXebra,Miami University Big Boys,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=BlindXebra
DCart3r,Miami University Big Boys,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=DCart3r
Raining In Japan,Miami University Big Boys,North-east | 2,Gold 3,14,https://na.op.gg/summoner/userName=Raining In Japan
CarryMePlsZzz,Miami University Big Boys,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=CarryMePlsZzz
Elite Prada,Miami University Big Boys,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Elite Prada
Yáng Chäo Yuè,Real Team Six,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Yáng Chäo Yuè
Snowﬂake,Malefic Visions,North-east | 1,Platinum 2,19,https://na.op.gg/summoner/userName=Snowﬂake
SheerLucke,Real Team Six,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=SheerLucke
Lissàndrà,Real Team Six,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=Lissàndrà
Roguewolfman,Real Team Six,North-east | 2,Platinum 2,19,https://na.op.gg/summoner/userName=Roguewolfman
Rashnar,Real Team Six,North-east | 2,Platinum 2,19,https://na.op.gg/summoner/userName=Rashnar
Jissbon Vanilla,Real Team Six,North-east | 2,Platinum 3,18,https://na.op.gg/summoner/userName=Jissbon Vanilla
AYAYA OMEGALUL,Michigan Dragon,North-east | 2,RANK NOT FOUND,0,https://na.op.gg/summoner/userName=AYAYA OMEGALUL
wtc6546x3,Michigan Dragon,North-east | 2,Gold 3,14,https://na.op.gg/summoner/userName=wtc6546x3
Aspêct,Michigan Dragon,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Aspêct
SelyntronNayder,Michigan Dragon,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=SelyntronNayder
Chiisama,Michigan Dragon,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Chiisama
Osteoclast,Michigan Dragon,North-east | 2,Platinum 2,19,https://na.op.gg/summoner/userName=Osteoclast
Adosh,Michigan Dragon,North-east | 2,Diamond 4,21,https://na.op.gg/summoner/userName=Adosh
Not Robert,Michigan Dragon,North-east | 2,Diamond 3,22,https://na.op.gg/summoner/userName=Not Robert
UndefiedKing,MGE JV,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=UndefiedKing
Smorp123,MGE JV,North-east | 2,Silver 1,12,https://na.op.gg/summoner/userName=Smorp123
Eamonn,MGE JV,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Eamonn
Suess,MGE JV,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=Suess
NobleElk,MGE JV,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=NobleElk
Mail God,MGE JV,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Mail God
MGE Kuriboh,MGE JV,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=MGE Kuriboh
TheNoneAndOnly,MGE JV,North-east | 2,Gold 4,13,https://na.op.gg/summoner/userName=TheNoneAndOnly
Znith,MGE JV,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Znith
Dwuarf,FSU Bulldogs,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=Dwuarf
Minecraftforxbox,FSU Bulldogs,North-east | 2,Gold 4,13,https://na.op.gg/summoner/userName=Minecraftforxbox
Cheez,FSU Bulldogs,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Cheez
Mishli,FSU Bulldogs,North-east | 2,Platinum 4,17,https://na.op.gg/summoner/userName=Mishli
Huskerz,FSU Bulldogs,North-east | 2,Gold 4,13,https://na.op.gg/summoner/userName=Huskerz
FSU Andy,FSU Bulldogs,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=FSU Andy
TwilightKnight12,Alma College Varsity,North-east | 2,Gold 2,15,https://na.op.gg/summoner/userName=TwilightKnight12
