teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
WLU - OpenLeague,North | 1,/lol/teams/6768,Gold 1,16,4,2,8,4,Platinum 1,20,"['Zedimental', 'Reehahs', 'JewishWanabe', 'Necrodra', 'BigWBurton', 'VKC', 'FlamingMonkey77', 'Kaemi', '4obl', 'nice icon', 'PenguinsAreCute', 'Vandrax', 'RZJ']","https://na.op.gg/multi/query=Zedimental,Reehahs,JewishWanabe,Necrodra,BigWBurton,VKC,FlamingMonkey77,Kaemi,4obl,nice icon,","https://na.op.gg/multi/query=PenguinsAreCute,Vandrax,RZJ,"
UW Baby Geese,North | 1,/lol/teams/11066,Diamond 1,24,4,0,8,0,Grandmaster,26,"['Platoon', 'Hexitt', 'Ilyfue', 'Float', 'TurretTickler', 'Snowspire', 'Zenden', 'RedPandaßear', 'pinkbeanz']","https://na.op.gg/multi/query=Platoon,Hexitt,Ilyfue,Float,TurretTickler,Snowspire,Zenden,RedPandaßear,pinkbeanz,",https://na.op.gg/multi/query=
Humber Black Team,North | 1,/lol/teams/10046,Platinum 1,20,3,2,6,4,Platinum 1,20,"['Akatsukii', 'Luonger', 'Sedatives', 'Koreàboo', 'LeBeach', 'Tmk7316']","https://na.op.gg/multi/query=Akatsukii,Luonger,Sedatives,Koreàboo,LeBeach,Tmk7316,",https://na.op.gg/multi/query=
Fanshawe Fuel - LoL Open,North | 1,/lol/teams/11038,Gold 2,15,3,2,6,4,Diamond 4,21,"['Cavelery', 'FUEL ReLyT', 'NotGodyr2Gates', 'PlzAddAGorilla', 'ChronoSwiftt', 'Died In Alpha', 'Ezreal Thicc', 'G2K Pek xinh', 'Gamedestroyer15', 'noob team', 'The Unicorn', 'Octiz', 'ImBack', 'TTVsheetonmyteet']","https://na.op.gg/multi/query=Cavelery,FUEL ReLyT,NotGodyr2Gates,PlzAddAGorilla,ChronoSwiftt,Died In Alpha,Ezreal Thicc,G2K Pek xinh,Gamedestroyer15,noob team,","https://na.op.gg/multi/query=The Unicorn,Octiz,ImBack,TTVsheetonmyteet,"
Cavaliers C,North | 1,/lol/teams/11013,Gold 3,14,3,4,6,8,Gold 3,14,"['Kindred L4m4r', 'Alph4Claw', 'Papa Grenouille', 'Dewritos45', 'Cosmos Prince', 'Dewritos45', 'FPCUniverse']","https://na.op.gg/multi/query=Kindred L4m4r,Alph4Claw,Papa Grenouille,Dewritos45,Cosmos Prince,Dewritos45,FPCUniverse,",https://na.op.gg/multi/query=
Cavaliers B,North | 1,/lol/teams/11185,Gold 3,14,3,3,6,6,Platinum 4,17,"['Bestkingleo', 'Trap or a Trick', 'mındless', 'Papa Grenouille', 'Shaymìn', 'CatchtheRaínbow']","https://na.op.gg/multi/query=Bestkingleo,Trap or a Trick,mındless,Papa Grenouille,Shaymìn,CatchtheRaínbow,",https://na.op.gg/multi/query=
QEA Tricolour Trihards,North | 1,/lol/teams/9475,Platinum 3,18,1,3,3,6,Platinum 2,19,"['Dastaan', 'MrBanz', 'Tanksiss', 'Gioje Xx213', 'DarkChiron', 'Worme', 'Green Tii']","https://na.op.gg/multi/query=Dastaan,MrBanz,Tanksiss,Gioje Xx213,DarkChiron,Worme,Green Tii,",https://na.op.gg/multi/query=
UNIVERSITY OF OTTAWA-DIV B TWO,North | 1,/lol/teams/7181,Diamond 3,22,1,6,2,12,Diamond 3,22,"['Exver', 'Frezzie', 'amialegends', 'Td Best Beo', 'l Mona l', 'Caveat Emptor', 'Saucy LightBulb']","https://na.op.gg/multi/query=Exver,Frezzie,amialegends,Td Best Beo,l Mona l,Caveat Emptor,Saucy LightBulb,",https://na.op.gg/multi/query=
University of Guelph B-Team,North | 1,/lol/teams/11121,Gold 1,16,1,4,2,8,Diamond 3,22,"['hi im Guardian', 'CIooz', 'Fortuné', 'Counsellor', 'spatel19981', 'FrostHD', 'Yummy Rice', 'ANUTHA WUN']","https://na.op.gg/multi/query=hi im Guardian,CIooz,Fortuné,Counsellor,spatel19981,FrostHD,Yummy Rice,ANUTHA WUN,",https://na.op.gg/multi/query=
GBC Open League,North | 1,/lol/teams/2578,Silver 1,12,0,12,0,24,Platinum 2,19,"['ll Shadow ll', 'Choii Yoojung', 'Kirino', 'DankyNugz', 'Autø Attack', 'Razetheboss', 'JimmyBong', 'GAM BestLand', 'TNß Aquila', 'Mrjinglesg', 'Beef Pho']","https://na.op.gg/multi/query=ll Shadow ll,Choii Yoojung,Kirino,DankyNugz,Autø Attack,Razetheboss,JimmyBong,GAM BestLand,TNß Aquila,Mrjinglesg,","https://na.op.gg/multi/query=Beef Pho,"
GMU Open League Team,East,/lol/teams/10616,Platinum 4,17,6,0,12,1,Diamond 3,22,"['Surej', 'Slugg0', 'Cydesus', 'Runkified', 'Deathfire Grasp', 'ILVBOBA', 'grayy', 'MadPanda007', 'Chengz', 'Monsieur Seasalt', 'SirLongstride']","https://na.op.gg/multi/query=Surej,Slugg0,Cydesus,Runkified,Deathfire Grasp,ILVBOBA,grayy,MadPanda007,Chengz,Monsieur Seasalt,","https://na.op.gg/multi/query=SirLongstride,"
UNC Division Two X,East,/lol/teams/9558,Diamond 4,21,5,1,10,3,Diamond 3,22,"['Apoloes', 'True Jasian', 'bocaj00', 'turkid', 'Strangerinmytub', 'Senamz13', 'Ehringhaus', 'Limerencé']","https://na.op.gg/multi/query=Apoloes,True Jasian,bocaj00,turkid,Strangerinmytub,Senamz13,Ehringhaus,Limerencé,",https://na.op.gg/multi/query=
UNC Division Two Y,East,/lol/teams/9559,Platinum 1,20,4,1,9,3,Diamond 4,21,"['Apoloes', 'Crimnar', 'mınıon', 'agricola magica', 'Dabby21', 'thebodkill', 'TheLaserLord']","https://na.op.gg/multi/query=Apoloes,Crimnar,mınıon,agricola magica,Dabby21,thebodkill,TheLaserLord,",https://na.op.gg/multi/query=
UNC Charlotte D Team,East,/lol/teams/10779,Gold 2,15,4,1,8,2,Platinum 3,18,"['Oncilla', 'ElCinco', 'Go Big Or Go Big', 'Yardfoot', 'Nehpali', 'Little Kahuna']","https://na.op.gg/multi/query=Oncilla,ElCinco,Go Big Or Go Big,Yardfoot,Nehpali,Little Kahuna,",https://na.op.gg/multi/query=
Duke Open A,East,/lol/teams/9906,Gold 2,15,3,2,7,5,Platinum 3,18,"['AnimeBibleBoyUWU', 'dragojeff', 'FutureBeyond', 'Estarossa', 'budido1', 'HugzFree', 'Wang333', 'ChilledCow', 'TopNotchPasta']","https://na.op.gg/multi/query=AnimeBibleBoyUWU,dragojeff,FutureBeyond,Estarossa,budido1,HugzFree,Wang333,ChilledCow,TopNotchPasta,",https://na.op.gg/multi/query=
Wake Forest Esports - C,East,/lol/teams/9540,Gold 2,15,3,2,6,4,Gold 1,16,"['Gmor4', 'StarÐust', 'Redonctaco98', 'lolyoum8', 'DatGuyUMightKnow', 'dancin9hours', 'R3ktangl3', 'bigdaddyxx', 'ZSR Library', 'Rentalbook', 'FeedingPig7']","https://na.op.gg/multi/query=Gmor4,StarÐust,Redonctaco98,lolyoum8,DatGuyUMightKnow,dancin9hours,R3ktangl3,bigdaddyxx,ZSR Library,Rentalbook,","https://na.op.gg/multi/query=FeedingPig7,"
UNCC C-Team,East,/lol/teams/10441,Gold 2,15,3,2,6,4,Platinum 3,18,"['GeneralCitizen', 'Nanachii', 'Łuckyˉ', 'BakedShot', 'Echeleon', 'Shebras', 'Agorinha']","https://na.op.gg/multi/query=GeneralCitizen,Nanachii,Łuckyˉ,BakedShot,Echeleon,Shebras,Agorinha,",https://na.op.gg/multi/query=
Radford University Esports,East,/lol/teams/11530,Silver 1,12,3,2,6,4,Gold 2,15,"['Milinda Kiriya', 'YoruTheWeirdo', 'Schpoolin', 'MacMenz', 'MjIsHere50', 'ahri srs', 'PapiDad6969', 'killindecarry']","https://na.op.gg/multi/query=Milinda Kiriya,YoruTheWeirdo,Schpoolin,MacMenz,MjIsHere50,ahri srs,PapiDad6969,killindecarry,",https://na.op.gg/multi/query=
UNCC B TEAM,East,/lol/teams/10913,Platinum 2,19,2,4,6,8,Platinum 1,20,"['KingTheseus', 'Dark Beginnings', 'Solo Editing', 'I Main Rakan', 'Baby shark xd', 'Markllama252']","https://na.op.gg/multi/query=KingTheseus,Dark Beginnings,Solo Editing,I Main Rakan,Baby shark xd,Markllama252,",https://na.op.gg/multi/query=
Wake Forest Esports -A,East,/lol/teams/10004,Platinum 3,18,2,3,5,8,Platinum 2,19,"['Gmor4', 'zhake', 'Elux', 'billycookie0528', 'StarÐust', 'Yung Urf', '12asdgasfgasdgba', 'FY soloman', 'Rentalbook', 'Zhan Jim', 'tKbFAmy']","https://na.op.gg/multi/query=Gmor4,zhake,Elux,billycookie0528,StarÐust,Yung Urf,12asdgasfgasdgba,FY soloman,Rentalbook,Zhan Jim,","https://na.op.gg/multi/query=tKbFAmy,"
Wake Forest Esports - B,East,/lol/teams/9914,Platinum 3,18,0,6,1,12,Platinum 2,19,"['Randomness18', 'Gold Stealer', 'Gmor4', 'billycookie0528', 'StarÐust', 'JuulLover39', 'Zhan Jim']","https://na.op.gg/multi/query=Randomness18,Gold Stealer,Gmor4,billycookie0528,StarÐust,JuulLover39,Zhan Jim,",https://na.op.gg/multi/query=
Vanderbilt Open,East,/lol/teams/10846,Gold 1,16,0,5,0,10,Platinum 1,20,"['Bulgarian dog', 'All', 'Ahn E', 'sollllleil', 'Red Magics', 'Peily', 'VoiDdeSilentio', 'temutai', 'Kim Under']","https://na.op.gg/multi/query=Bulgarian dog,All,Ahn E,sollllleil,Red Magics,Peily,VoiDdeSilentio,temutai,Kim Under,",https://na.op.gg/multi/query=
High Point University - White,East,/lol/teams/9494,Silver 1,12,0,6,0,12,Gold 2,15,"['The Technomancer', 'Quicksilvr2000', 'Lil Dippa', 'Pajama Girl', 'TheXplosivSkittl', 'Chondro', 'Doctor Succdo', 'Czar of SkittleZ']","https://na.op.gg/multi/query=The Technomancer,Quicksilvr2000,Lil Dippa,Pajama Girl,TheXplosivSkittl,Chondro,Doctor Succdo,Czar of SkittleZ,",https://na.op.gg/multi/query=
Wheaton Varsity Team,Central | 6,/lol/teams/11242,Gold 3,14,5,1,10,2,Platinum 4,17,"['Zaknafien', 'Trashcompactorj9', 'Lymbó', 'CarrotTasteGood', 'Poópy', 'mochiyamyam', 'dooobu']","https://na.op.gg/multi/query=Zaknafien,Trashcompactorj9,Lymbó,CarrotTasteGood,Poópy,mochiyamyam,dooobu,",https://na.op.gg/multi/query=
DePaul Blue Demons - II,Central | 6,/lol/teams/11340,Diamond 4,21,5,0,10,1,Diamond 3,22,"['Reaperˆ', 'The Shekler', 'Alpha Katie', 'dumbthicc123', 'Kaldoran', 'cptfuumanchuu', 'AspiringDropOut', 'Tyli', 'rzayers']","https://na.op.gg/multi/query=Reaperˆ,The Shekler,Alpha Katie,dumbthicc123,Kaldoran,cptfuumanchuu,AspiringDropOut,Tyli,rzayers,",https://na.op.gg/multi/query=
SIUC A,Central | 6,/lol/teams/9108,Platinum 3,18,4,1,9,3,Diamond 4,21,"['Magerx', 'ShouTuDeYaSuo', 'Dr Avacado', 'Doctor Deefz', 'PCho 1000', '1Wilky', 'MaLtha3L', 'Keister']","https://na.op.gg/multi/query=Magerx,ShouTuDeYaSuo,Dr Avacado,Doctor Deefz,PCho 1000,1Wilky,MaLtha3L,Keister,",https://na.op.gg/multi/query=
Illinois Wesleyan Academy,Central | 6,/lol/teams/6589,Diamond 4,21,4,2,9,5,Diamond 2,23,"['IWU Kahts', 'CoachFletcher', 'Brifter', 'Psapa', 'Sutton the Wolf', 'Fryte', 'Nivec', 'Spyhi2', 'ETGOD', 'emersmith', 'West Coast Carry']","https://na.op.gg/multi/query=IWU Kahts,CoachFletcher,Brifter,Psapa,Sutton the Wolf,Fryte,Nivec,Spyhi2,ETGOD,emersmith,","https://na.op.gg/multi/query=West Coast Carry,"
Redbird Esports Academy League,Central | 6,/lol/teams/6594,Gold 1,16,3,3,7,7,Diamond 3,22,"['Redfôx', 'Rampor The Swift', 'Lifes Desire', 'Dechachez', 'bardstuck plat', 'Pater', 'Its Vern Baby']","https://na.op.gg/multi/query=Redfôx,Rampor The Swift,Lifes Desire,Dechachez,bardstuck plat,Pater,Its Vern Baby,",https://na.op.gg/multi/query=
Bradley University - PTP,Central | 6,/lol/teams/9107,Platinum 2,19,3,2,7,4,Platinum 2,19,"['Fr4k', 'K0rasi', 'ch1l1 ch33s3', 'Truck Chan', 'Ënel', 'Drigov', 'Ges201', 'NyanDiamond']","https://na.op.gg/multi/query=Fr4k,K0rasi,ch1l1 ch33s3,Truck Chan,Ënel,Drigov,Ges201,NyanDiamond,",https://na.op.gg/multi/query=
Ring Toe Rascals,Central | 6,/lol/teams/11017,Platinum 4,17,3,2,6,4,Platinum 4,17,"['Vytautas Didysis', 'Fr4k', 'Maybird99', 'AngryDwarf99', 'Ënel']","https://na.op.gg/multi/query=Vytautas Didysis,Fr4k,Maybird99,AngryDwarf99,Ënel,",https://na.op.gg/multi/query=
Olivet Tigers,Central | 6,/lol/teams/9414,Platinum 3,18,3,2,6,4,Platinum 2,19,"['Kymn', 'Salidror', 'Oddittee', 'I  Veigar  I', 'LysolOP', 'The Farmassist', 'ThePineappleNuke', 'Momokaia']","https://na.op.gg/multi/query=Kymn,Salidror,Oddittee,I  Veigar  I,LysolOP,The Farmassist,ThePineappleNuke,Momokaia,",https://na.op.gg/multi/query=
CCC Renegades Varsity B,Central | 6,/lol/teams/10649,Platinum 4,17,2,3,4,6,Platinum 2,19,"['FIGGLETON', 'wms910', '1104', 'BPJ', 'HoIland', 'SonicBR', 'FAAR', 'Stresssed', 'Kraygarr']","https://na.op.gg/multi/query=FIGGLETON,wms910,1104,BPJ,HoIland,SonicBR,FAAR,Stresssed,Kraygarr,",https://na.op.gg/multi/query=
NCC eSports,Central | 6,/lol/teams/9296,Gold 1,16,1,5,3,10,Platinum 4,17,"['laxson', 'Refinery', 'TacticalJhinting', 'Domia', 'DigimonDigivice', 'HikariHime', 'Cvil']","https://na.op.gg/multi/query=laxson,Refinery,TacticalJhinting,Domia,DigimonDigivice,HikariHime,Cvil,",https://na.op.gg/multi/query=
Northwestern Overcats,Central | 6,/lol/teams/10396,Platinum 1,20,1,4,2,8,Diamond 4,21,"['thesecrettaco', 'the14baller', 'goge', 'FIGGYISYUMMY', 'Freakwave', 'Marsueltor', 'EllieTheWaffle', 'driftgwyn', 'Barakuba']","https://na.op.gg/multi/query=thesecrettaco,the14baller,goge,FIGGYISYUMMY,Freakwave,Marsueltor,EllieTheWaffle,driftgwyn,Barakuba,",https://na.op.gg/multi/query=
Northwestern C Team,Central | 6,/lol/teams/10397,Platinum 3,18,1,5,2,11,Platinum 1,20,"['thesecrettaco', 'Scrumptious Pie', 'Silenttake', 'the14baller', 'Marsueltor', 'DoubleQuadruple', 'Duxarma', 'Cryptify', 'Aratø', 'Brunocheung']","https://na.op.gg/multi/query=thesecrettaco,Scrumptious Pie,Silenttake,the14baller,Marsueltor,DoubleQuadruple,Duxarma,Cryptify,Aratø,Brunocheung,",https://na.op.gg/multi/query=
Lake Forest College,Central | 6,/lol/teams/3194,Silver 1,12,0,5,0,10,Platinum 2,19,"['Epic Eyebrows', 'seller857', 'Moon Wife', 'ioiicon', 'dredman999', 'HIGH SKILL GAMER', 'dripspaff', 'Quegsire', 'VaderBam', 'Onısan', 'RacismBad']","https://na.op.gg/multi/query=Epic Eyebrows,seller857,Moon Wife,ioiicon,dredman999,HIGH SKILL GAMER,dripspaff,Quegsire,VaderBam,Onısan,","https://na.op.gg/multi/query=RacismBad,"
UTSA White,Central | 5,/lol/teams/10280,Platinum 2,19,6,0,12,0,Platinum 1,20,"['Mespai', 'The Box Beater', 'The Cup of Joe', 'smurfbronzelol', 'Pyro26', 'mymicbroke', 'Accursêd', 'frošty', 'uwu live']","https://na.op.gg/multi/query=Mespai,The Box Beater,The Cup of Joe,smurfbronzelol,Pyro26,mymicbroke,Accursêd,frošty,uwu live,",https://na.op.gg/multi/query=
LOLUTD TEAM E VERSION TWO,Central | 5,/lol/teams/10558,Gold 1,16,6,0,12,1,Platinum 2,19,"['mannstrous', 'Kya Kitty', 'Vivid Sun Leona', 'Lvl 99 Kenny', 'Koneko314', 'Faery', 'jìnseng']","https://na.op.gg/multi/query=mannstrous,Kya Kitty,Vivid Sun Leona,Lvl 99 Kenny,Koneko314,Faery,jìnseng,",https://na.op.gg/multi/query=
MSOE Red,Central | 5,/lol/teams/9860,Platinum 3,18,5,1,10,3,Platinum 1,20,"['Divinegon', 'Siebold', 'Raekors', 'Jolson', 'Magicallypotato', 'ªrgºs', 'NobodybuttheRain', 'slayerdude1000', 'ZTB TheCaptain']","https://na.op.gg/multi/query=Divinegon,Siebold,Raekors,Jolson,Magicallypotato,ªrgºs,NobodybuttheRain,slayerdude1000,ZTB TheCaptain,",https://na.op.gg/multi/query=
Grand View Vikings JV,Central | 5,/lol/teams/9084,Platinum 2,19,5,0,10,0,Platinum 1,20,"['DreadJoker99', 'Dracolords', 'Zyx', 'KØusei', 'cired', 'UpstartMyHeart', 'Mesterjakel', 'Kayzo']","https://na.op.gg/multi/query=DreadJoker99,Dracolords,Zyx,KØusei,cired,UpstartMyHeart,Mesterjakel,Kayzo,",https://na.op.gg/multi/query=
LATECH R,Central | 5,/lol/teams/10618,Platinum 4,17,4,2,9,6,Platinum 3,18,"['s0me1udontn0', 'Lord Drayplay', 'penguin2ps', 'M0Joe', 'RoboEmile', 'BryceCrispy', 'authlol', 'Vegar', 'GrimLockv69']","https://na.op.gg/multi/query=s0me1udontn0,Lord Drayplay,penguin2ps,M0Joe,RoboEmile,BryceCrispy,authlol,Vegar,GrimLockv69,",https://na.op.gg/multi/query=
MNSU Purple Squad,Central | 5,/lol/teams/9795,Gold 2,15,2,4,6,9,Platinum 2,19,"['Unscene Blade', 'Louii', 'Dinor', 'vinsmôke', 'Mikayah', 'BarrackaObama', 'Super Slam Cam', 'Unleash29', 'Smartster']","https://na.op.gg/multi/query=Unscene Blade,Louii,Dinor,vinsmôke,Mikayah,BarrackaObama,Super Slam Cam,Unleash29,Smartster,",https://na.op.gg/multi/query=
Ole Miss Varsity,Central | 5,/lol/teams/9248,Platinum 4,17,2,3,5,6,Platinum 2,19,"['Syliris', 'Empty Regrets', 'TheAbominusRips', 'ElstonGunn', 'Vixcini', 'Tyler9', 'Reliqs', 'JustGrace']","https://na.op.gg/multi/query=Syliris,Empty Regrets,TheAbominusRips,ElstonGunn,Vixcini,Tyler9,Reliqs,JustGrace,",https://na.op.gg/multi/query=
Cornell College Purple,Central | 5,/lol/teams/9505,Gold 1,16,2,3,5,8,Diamond 3,22,"['ShamrockandRoll', 'MMOONN', 'ulldieinthreeday', 'BIadeWaltz', 'Yangxi', 'Admiral Panic', 'PL181319181319', 'I Hae Typos', 'gurbatsch', 'Very Very Toxic', 'CrunchyGravel', 'hide on kúsh', 'Doinnb']","https://na.op.gg/multi/query=ShamrockandRoll,MMOONN,ulldieinthreeday,BIadeWaltz,Yangxi,Admiral Panic,PL181319181319,I Hae Typos,gurbatsch,Very Very Toxic,","https://na.op.gg/multi/query=CrunchyGravel,hide on kúsh,Doinnb,"
LATech B,Central | 5,/lol/teams/8722,Gold 1,16,1,4,4,8,Platinum 3,18,"['s0me1udontn0', 'C9 5neaky', 'goldfly6321', 'Lord Drayplay', 'Amaniacc', 'Ravioli Kilig', 'City of Vora', 'Cam Fett', 'The Quinndred', 'thelaviathan']","https://na.op.gg/multi/query=s0me1udontn0,C9 5neaky,goldfly6321,Lord Drayplay,Amaniacc,Ravioli Kilig,City of Vora,Cam Fett,The Quinndred,thelaviathan,",https://na.op.gg/multi/query=
Waldorf Gaming Experience,Central | 5,/lol/teams/6676,Gold 3,14,1,3,2,6,Gold 3,14,"['DR OnePunchBlitz', 'Tritsan', 'Coolio_Frost1', 'straightshifty', 'Octavyan']","https://na.op.gg/multi/query=DR OnePunchBlitz,Tritsan,Coolio_Frost1,straightshifty,Octavyan,",https://na.op.gg/multi/query=
WTAMUJV,Central | 5,/lol/teams/9182,Silver 1,12,0,5,0,10,Gold 3,14,"['Phat Penguin', 'Return Akali', 'JustKumo', 'Shamisen', 'Cathasabucket', 'WT_Anomoly', 'King x Dom', 'Sir Fahrenheit', 'zitronic']","https://na.op.gg/multi/query=Phat Penguin,Return Akali,JustKumo,Shamisen,Cathasabucket,WT_Anomoly,King x Dom,Sir Fahrenheit,zitronic,",https://na.op.gg/multi/query=
NWC Red Raiders,Central | 5,/lol/teams/8592,Silver 1,12,0,5,0,10,Platinum 4,17,"['iSgtShultz', 'Hypersomnia', 'hadesman19', 'Paragonic', 'ImSorrySupport', '21Baladur', 'Stonewall0', 'Cicero2112', 'Snipenya']","https://na.op.gg/multi/query=iSgtShultz,Hypersomnia,hadesman19,Paragonic,ImSorrySupport,21Baladur,Stonewall0,Cicero2112,Snipenya,",https://na.op.gg/multi/query=
LOLUTD TEAM JELLIE,Central | 5,/lol/teams/11157,Platinum 2,19,0,4,0,8,Gold 2,15,"['Jellieglass', 'Faery', 'maewo', 'Bamusan', 'Dtownkidz']","https://na.op.gg/multi/query=Jellieglass,Faery,maewo,Bamusan,Dtownkidz,",https://na.op.gg/multi/query=
UNT Eagles White,Central | 4,/lol/teams/5897,Platinum 1,20,6,0,12,0,Diamond 1,24,"['Kat Diamond', 'Just Give Up Vi', 'Rainy', 'avisandavison', 'Saúce', 'NekollcarryU', 'Amayzing', 'Lil Nate', 'Monadö']","https://na.op.gg/multi/query=Kat Diamond,Just Give Up Vi,Rainy,avisandavison,Saúce,NekollcarryU,Amayzing,Lil Nate,Monadö,",https://na.op.gg/multi/query=
University of Houston Polaris,Central | 4,/lol/teams/6780,Platinum 3,18,5,1,10,3,Platinum 2,19,"['Árçh', 'Rioklu', 'Blazetail', 'Ristu', 'Gumbers', 'Thot Wrecker', 'Frankeeeflip', 'Muchai', 'Fireflanz']","https://na.op.gg/multi/query=Árçh,Rioklu,Blazetail,Ristu,Gumbers,Thot Wrecker,Frankeeeflip,Muchai,Fireflanz,",https://na.op.gg/multi/query=
KRAZYINTER FANCLUB,Central | 4,/lol/teams/9023,Diamond 3,22,5,0,10,0,Master,25,"['kr4zykilla', 'Good Sir', 'Poofu', 'cutepanda', 'Maroon Turtle', 'Syrma', 'Hemal', 'Fey Feathers', 'OneSpringFlower']","https://na.op.gg/multi/query=kr4zykilla,Good Sir,Poofu,cutepanda,Maroon Turtle,Syrma,Hemal,Fey Feathers,OneSpringFlower,",https://na.op.gg/multi/query=
University of Houston Phoenix,Central | 4,/lol/teams/11359,Platinum 2,19,3,1,6,2,Platinum 1,20,"['Rioklu', 'Frankeeeflip', 'Huskytemplar', 'Eric Nguyen', 'Pegasorous', 'Lil Kermit', 'Sosca', 'Rangedapprentice', 'Salty Fish Zzz']","https://na.op.gg/multi/query=Rioklu,Frankeeeflip,Huskytemplar,Eric Nguyen,Pegasorous,Lil Kermit,Sosca,Rangedapprentice,Salty Fish Zzz,",https://na.op.gg/multi/query=
LOLUTD FROSTIES,Central | 4,/lol/teams/11187,Platinum 2,19,3,3,6,8,Platinum 1,20,"['TrueSerendipity', 'Sílver Frost', 'Animalsss', 'Ovitav', 'Radster859', 'DanWu', 'NoSlawExtraFries']","https://na.op.gg/multi/query=TrueSerendipity,Sílver Frost,Animalsss,Ovitav,Radster859,DanWu,NoSlawExtraFries,",https://na.op.gg/multi/query=
UTA Esports Aurora,Central | 4,/lol/teams/10094,Platinum 1,20,2,2,5,4,Diamond 3,22,"['jabbR', 'Semper Amicissim', 'Taste of Italy', 'Sir Squeeble II', 'CeIeb', 'Neiman', 'SilverPerry', 'RebornDominator', 'EmadTheTurk']","https://na.op.gg/multi/query=jabbR,Semper Amicissim,Taste of Italy,Sir Squeeble II,CeIeb,Neiman,SilverPerry,RebornDominator,EmadTheTurk,",https://na.op.gg/multi/query=
TXST Esports B,Central | 4,/lol/teams/11404,Platinum 4,17,2,2,5,4,Platinum 2,19,"['Ryesthetics', 'Kaladra', 'SouthernWarrior', 'Tirate', 'RedHeadedWarrior', 'MetalDragon14', 'Botman', 'AlxndurTo']","https://na.op.gg/multi/query=Ryesthetics,Kaladra,SouthernWarrior,Tirate,RedHeadedWarrior,MetalDragon14,Botman,AlxndurTo,",https://na.op.gg/multi/query=
Texas Tech Academy,Central | 4,/lol/teams/10128,Platinum 3,18,2,3,5,7,Platinum 2,19,"['Chigaroo', 'KnicNicks', 'MegaSatan', 'R3ptile970', 'Híndsight', 'Skrufee', 'Limit pusher']","https://na.op.gg/multi/query=Chigaroo,KnicNicks,MegaSatan,R3ptile970,Híndsight,Skrufee,Limit pusher,",https://na.op.gg/multi/query=
SHSU WDGT,Central | 4,/lol/teams/10012,Gold 2,15,2,2,4,4,Gold 2,15,"['Jokuck', 'Freaking Anthony', 'Huy Nguyen', 'Shiny Pebble', 'Anruu', 'Colonel Grabdat']","https://na.op.gg/multi/query=Jokuck,Freaking Anthony,Huy Nguyen,Shiny Pebble,Anruu,Colonel Grabdat,",https://na.op.gg/multi/query=
The Crusaders,Central | 4,/lol/teams/10100,Silver 3,10,1,5,3,11,Gold 2,15,"['Djmoney50d', 'Pokęy', 'LOV3 Nibbs', 'Aggieboy1444', 'Happy0304', 'MankDemer', 'FLY Ceralas', 'Jkimbell', 'garbageplayerbtw', 'BakaPichu']","https://na.op.gg/multi/query=Djmoney50d,Pokęy,LOV3 Nibbs,Aggieboy1444,Happy0304,MankDemer,FLY Ceralas,Jkimbell,garbageplayerbtw,BakaPichu,",https://na.op.gg/multi/query=
UNT Eagles Green,Central | 4,/lol/teams/5898,Gold 2,15,1,4,2,9,Gold 1,16,"['Kat Diamond', 'glublord', 'RedDragon101', 'Angeweenie', 'Lucixno', 'BottleCapOG', 'JCarguy', 'Ospreay', 'xl JonyBoi', 'Sloathe']","https://na.op.gg/multi/query=Kat Diamond,glublord,RedDragon101,Angeweenie,Lucixno,BottleCapOG,JCarguy,Ospreay,xl JonyBoi,Sloathe,",https://na.op.gg/multi/query=
TuG League,Central | 4,/lol/teams/10986,Platinum 4,17,0,4,3,9,Platinum 3,18,"['EasternAce481', 'Sóber', 'xClementine', 'InfiniteStamina', 'Aureation', 'Fizzthebroke', 'Rainlight', 'S1rCalmDown']","https://na.op.gg/multi/query=EasternAce481,Sóber,xClementine,InfiniteStamina,Aureation,Fizzthebroke,Rainlight,S1rCalmDown,",https://na.op.gg/multi/query=
TAMUK HogChamp,Central | 4,/lol/teams/3173,Gold 4,13,0,5,0,10,Gold 1,16,"['Squeezy Nut', 'Mubo', 'Young bread', 'Au D Rogers', 'TA Falco', 'yangmaster666']","https://na.op.gg/multi/query=Squeezy Nut,Mubo,Young bread,Au D Rogers,TA Falco,yangmaster666,",https://na.op.gg/multi/query=
Longhorn Gaming C Team,Central | 3,/lol/teams/11453,Platinum 3,18,6,0,12,0,Diamond 3,22,"['Pufl', 'Faíz', 'One Epic Potato', 'Ligmatim', 'kayleen', 'thotslayer897', 'Azexian', 'AC130']","https://na.op.gg/multi/query=Pufl,Faíz,One Epic Potato,Ligmatim,kayleen,thotslayer897,Azexian,AC130,",https://na.op.gg/multi/query=
University of Houston Flame On,Central | 3,/lol/teams/11271,Platinum 2,19,5,0,10,0,Platinum 1,20,"['Albert Li', 'S9 ROCKS', 'Ruquie', 'Rioklu', 'fygure', 'quanba', 'Katvy', 'Árma', 'Kryptik']","https://na.op.gg/multi/query=Albert Li,S9 ROCKS,Ruquie,Rioklu,fygure,quanba,Katvy,Árma,Kryptik,",https://na.op.gg/multi/query=
