teamName,region,link,rank,rankValue,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,playerList,opgg1,opgg2
Penn State Academy,North-east | 4,/lol/teams/11126,Diamond 1,24,2,1,4,3,Diamond 1,24,"['Billy D', 'Zentriv', 'Functor', 'Hongdangmoo', '9038']","https://na.op.gg/multi/query=Billy D,Zentriv,Functor,Hongdangmoo,9038,",https://na.op.gg/multi/query=
PCT League Varsity,North-east | 4,/lol/teams/11304,Platinum 3,18,2,2,4,5,Platinum 3,18,"['1bubbainpa', 'SleepingRibbon', 'Hbomb', 'Delldor', 'Jackieboyy']","https://na.op.gg/multi/query=1bubbainpa,SleepingRibbon,Hbomb,Delldor,Jackieboyy,",https://na.op.gg/multi/query=
ONE TRICKS ONLY,North-east | 4,/lol/teams/7532,Diamond 4,21,1,2,3,4,Diamond 4,21,"['one tricks only', 'iCutForJesus', 'nontoxic topgod', 'Zombsowned', 'Ionian Dance', 'Áimer', 'No J Ling']","https://na.op.gg/multi/query=one tricks only,iCutForJesus,nontoxic topgod,Zombsowned,Ionian Dance,Áimer,No J Ling,",https://na.op.gg/multi/query=
Arcadia Knights B,North-east | 4,/lol/teams/10169,Bronze 2,7,0,3,1,6,Bronze 2,7,"['D5 Zero LP', 'Icé', 'TheMightyDuck123', 'Big Jingor', 'Swiftdeus', 'Kojo Relapse']","https://na.op.gg/multi/query=D5 Zero LP,Icé,TheMightyDuck123,Big Jingor,Swiftdeus,Kojo Relapse,",https://na.op.gg/multi/query=
Arcadia Knights,North-east | 4,/lol/teams/10168,Platinum 4,17,0,3,1,6,Platinum 4,17,"['D5 Zero LP', 'SoulReaper61', 'VodkaCrotch', 'AwkwardTurtleQQ', 'KnightVX', 'Chattin1Reformed']","https://na.op.gg/multi/query=D5 Zero LP,SoulReaper61,VodkaCrotch,AwkwardTurtleQQ,KnightVX,Chattin1Reformed,",https://na.op.gg/multi/query=
RMU Team Blue,North-east | 4,/lol/teams/7318,Silver 3,10,0,4,0,8,Gold 3,14,"['Mittica', 'Slurpe', 'NormTrooper67', 'russ217187', 'Strandomintoo', 'Gir Knives', 'Lanks']","https://na.op.gg/multi/query=Mittica,Slurpe,NormTrooper67,russ217187,Strandomintoo,Gir Knives,Lanks,",https://na.op.gg/multi/query=
UMBC Underdogs,North-east | 3,/lol/teams/10822,Diamond 4,21,6,0,13,0,Diamond 3,22,"['Tsun', 'Aphotical', 'YikesItsWykes', 'Gobblgut', 'Trap7x', 'Malodeus', 'iTeelar', 'Bowbie Bot', 'UberYeets']","https://na.op.gg/multi/query=Tsun,Aphotical,YikesItsWykes,Gobblgut,Trap7x,Malodeus,iTeelar,Bowbie Bot,UberYeets,",https://na.op.gg/multi/query=
NJIT B,North-east | 3,/lol/teams/7770,Platinum 3,18,5,2,11,5,Platinum 2,19,"['Øctave', 'Star Chow', 'The Fly Spy Guy', 'mysteryx555', 'Penguinsanta', 'AgaGaiinz', 'kaspookyy']","https://na.op.gg/multi/query=Øctave,Star Chow,The Fly Spy Guy,mysteryx555,Penguinsanta,AgaGaiinz,kaspookyy,",https://na.op.gg/multi/query=
UMD.OLoL,North-east | 3,/lol/teams/11103,Platinum 4,17,5,0,10,0,Platinum 1,20,"['SebC', 'Inner Pead', 'missbye', 'Im Choi', 'RaguDragon', 'Eternal Wind', 'F for Fizz']","https://na.op.gg/multi/query=SebC,Inner Pead,missbye,Im Choi,RaguDragon,Eternal Wind,F for Fizz,",https://na.op.gg/multi/query=
UMBC Little Pawgers,North-east | 3,/lol/teams/11032,Platinum 4,17,4,1,8,2,Diamond 3,22,"['StarBoy237', 'YikesItsWykes', 'Linkool', 'Freezeskybird', 'Lil Coca', 'trickshoot111', 'Mîtçh', 'Project Fury', 'muddyfeti', 'Azil']","https://na.op.gg/multi/query=StarBoy237,YikesItsWykes,Linkool,Freezeskybird,Lil Coca,trickshoot111,Mîtçh,Project Fury,muddyfeti,Azil,",https://na.op.gg/multi/query=
