teamName,region,link,seriesWins,seriesLosses,gameWins,gameLosses,rank5,rank5Value,rank,rankValue,playerList,opgg1,opgg2
UToledo Esports JV Team,North-east | 3,/lol/teams/8955,10,1,20,4,Gold 2,15,Gold 4,13,"['MasterTurtle88', 'Kasutoku', 'csof', 'X80HDgraphicsX', 'Keaen', 'Stand Ready', 'Hippodog', 'fat tigers123', 'The Orical']","https://na.op.gg/multi/query=MasterTurtle88,Kasutoku,csof,X80HDgraphicsX,Keaen,Stand Ready,Hippodog,fat tigers123,The Orical,",https://na.op.gg/multi/query=
KansasState That tasted Purple,Central | 2,/lol/teams/6370,8,4,19,8,Gold 1,16,Silver 2,11,"['0 Shyguy 0', 'Efam', 'Duckster', 'Adalintor', 'TheCrimsonFlare', 'MMin74', 'Karmabell', 'Thunderguy5767', 'Uncappedbeef6']","https://na.op.gg/multi/query=0 Shyguy 0,Efam,Duckster,Adalintor,TheCrimsonFlare,MMin74,Karmabell,Thunderguy5767,Uncappedbeef6,",https://na.op.gg/multi/query=
Rock.lol White,North-east | 2,/lol/teams/8899,9,2,18,4,Gold 3,14,Silver 1,12,"['hi im gilin', 'Gigabyted', 'Känra', 'FrostFlower11', 'Fireofbob', 'Mookman111', 'Fmaya18', 'bookshark13', 'Kocksy']","https://na.op.gg/multi/query=hi im gilin,Gigabyted,Känra,FrostFlower11,Fireofbob,Mookman111,Fmaya18,bookshark13,Kocksy,",https://na.op.gg/multi/query=
SC Esports Gold Team,South-west | 1,/lol/teams/10627,9,3,19,8,Gold 2,15,Gold 3,14,"['Zephyraphim', 'Luwucian', 'Mimirore', 'asianshenanigans', 'USC Fonzie', 'NeelS']","https://na.op.gg/multi/query=Zephyraphim,Luwucian,Mimirore,asianshenanigans,USC Fonzie,NeelS,",https://na.op.gg/multi/query=
Northwestern Mildcats,Central | 3,/lol/teams/10341,11,1,22,5,Gold 1,16,Silver 1,12,"['thesecrettaco', 'Sharp104', 'Liucifer20', 'postoso', 'Scrumptious Pie', 'Naythen', 'Silenttake', 'Epic Burger', 'Blazesear', 'espyxd', 'win2feed2win']","https://na.op.gg/multi/query=thesecrettaco,Sharp104,Liucifer20,postoso,Scrumptious Pie,Naythen,Silenttake,Epic Burger,Blazesear,espyxd,","https://na.op.gg/multi/query=win2feed2win,"
University of Manitoba JV Two,Central | 4,/lol/teams/11168,8,2,16,4,Gold 1,16,Gold 3,14,"['cagl1', 'Pleb Jiraiya', 'Kopec', 'Chenky', 'princessgaming99', 'Ronrush22', 'Noidea121', 'Dave Nipples']","https://na.op.gg/multi/query=cagl1,Pleb Jiraiya,Kopec,Chenky,princessgaming99,Ronrush22,Noidea121,Dave Nipples,",https://na.op.gg/multi/query=
DePaul Blue Demons - III,Central | 3,/lol/teams/11341,11,1,23,4,Gold 1,16,Gold 2,15,"['Elerbee', 'Alpha Katie', 'withextrasauce', 'FreakyTendons', 'Lovelåce', 'DouYuTV Wh1t3zZ', 'The Dejhinerate', 'Syaro']","https://na.op.gg/multi/query=Elerbee,Alpha Katie,withextrasauce,FreakyTendons,Lovelåce,DouYuTV Wh1t3zZ,The Dejhinerate,Syaro,",https://na.op.gg/multi/query=
WWU Gold B,North-west,/lol/teams/9901,7,4,14,10,Gold 2,15,Gold 3,14,"['Frozen in Warmth', 'Ingeborg', 'kingslàyer', 'l Ô w Ô l', 'magmasuns', 'Art3misss', 'andilard']","https://na.op.gg/multi/query=Frozen in Warmth,Ingeborg,kingslàyer,l Ô w Ô l,magmasuns,Art3misss,andilard,",https://na.op.gg/multi/query=
Piltover Pokes C Team,Central | 2,/lol/teams/9408,10,2,21,8,Gold 2,15,Silver 1,12,"['Skeletonjacksaw', 'Brinticus', 'Playful Sadist', 'No Fear Matson', 'Relic007', 'Manivn', 'Mindu22', 'SoSeol', 'Tëtra', 'Houya']","https://na.op.gg/multi/query=Skeletonjacksaw,Brinticus,Playful Sadist,No Fear Matson,Relic007,Manivn,Mindu22,SoSeol,Tëtra,Houya,",https://na.op.gg/multi/query=
CSU Rams Gold,Central | 2,/lol/teams/9009,9,2,18,6,Gold 1,16,Gold 4,13,"['denon39', 'DrewMoo', 'AlluringTiger', 'Bginna', 'Smacky Da Pappy', 'Shaqtus juice', 'Libertuš', 'Jewberry25', 'beev', 'NuclearNick007']","https://na.op.gg/multi/query=denon39,DrewMoo,AlluringTiger,Bginna,Smacky Da Pappy,Shaqtus juice,Libertuš,Jewberry25,beev,NuclearNick007,",https://na.op.gg/multi/query=
